Place,Player,Alias,Character(s),Event Name,Year,Game Played,Top Character,Reasoning
1st,Kenji Obata,KO,Yun,EVO 2003[],2003,Street Fighter III: 3rd Strike,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
2nd,Daigo Umehara,The Beast,Ken,EVO 2003[],2003,Street Fighter III: 3rd Strike,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
3rd,Keisuke Imai,KSK,Alex,EVO 2003[],2003,Street Fighter III: 3rd Strike,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
4th,Tetsuya Inoue,Ino,Yun/Makoto,EVO 2003[],2003,Street Fighter III: 3rd Strike,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
5th,Ricky Ortiz,Hel-o Kit-e,Chun-Li,EVO 2003[],2003,Street Fighter III: 3rd Strike,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
5th,Hsien Chang,,Ken,EVO 2003[],2003,Street Fighter III: 3rd Strike,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
7th,Shinya Ohnuki,Nuki,Chun-Li,EVO 2003[],2003,Street Fighter III: 3rd Strike,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
7th,Mark Royogski,Mopreme,Ken/Chun-Li,EVO 2003[],2003,Street Fighter III: 3rd Strike,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
1st,Daigo Umehara,The Beast,O. Sagat/Ryu/Balrog,EVO 2004[],2004,Super Street Fighter II Turbo,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
2nd,John Choi,ChoiBoy,O. Sagat/Guile,EVO 2004[],2004,Super Street Fighter II Turbo,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
3rd,Kuni Funada,,Zangief,EVO 2004[],2004,Super Street Fighter II Turbo,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
4th,Justin Wong,JWonggg,O. Sagat/Chun-Li,EVO 2004[],2004,Super Street Fighter II Turbo,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
5th,Wes Truelson,,Ken/Balrog,EVO 2004[],2004,Super Street Fighter II Turbo,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
5th,Alex Valle,CaliPower,Ryu/O. Sagat,EVO 2004[],2004,Super Street Fighter II Turbo,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
7th,Jesse Howard,,Ryu,EVO 2004[],2004,Super Street Fighter II Turbo,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
7th,Seth Killian,s-kill,Unknown,EVO 2004[],2004,Super Street Fighter II Turbo,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
1st,Kenji Obata,KO,Yun,EVO 2004[],2004,Street Fighter III: 3rd Strike,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
2nd,Daigo Umehara,The Beast,Ken,EVO 2004[],2004,Street Fighter III: 3rd Strike,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
3rd,Justin Wong,JWonggg,Chun-Li,EVO 2004[],2004,Street Fighter III: 3rd Strike,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
4th,Toru Hashimoto,Raoh,Chun-Li,EVO 2004[],2004,Street Fighter III: 3rd Strike,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
5th,Keisuke Imai,KSK,Alex,EVO 2004[],2004,Street Fighter III: 3rd Strike,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
5th,Katsuhisa Ohta,Kokujin,Dudley,EVO 2004[],2004,Street Fighter III: 3rd Strike,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
7th,Hsien Chang,,Ken,EVO 2004[],2004,Street Fighter III: 3rd Strike,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
7th,Mike Watson,Watts,Ken,EVO 2004[],2004,Street Fighter III: 3rd Strike,Chun-Li,Iconic role in Daigo's Evo Moment #37 parry sequence.
1st,Unknown,Gian,Dhalsim,EVO 2005[],2005,Super Street Fighter II Turbo,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
2nd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2005[],2005,Super Street Fighter II Turbo,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
3rd,Hajime Taniguchi,Tokido,Chun-Li,EVO 2005[],2005,Super Street Fighter II Turbo,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
4th,Phil Burnell,DSP,Dee Jay/Vega,EVO 2005[],2005,Super Street Fighter II Turbo,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
5th,Campbell Tran,Buktooth,Chun-Li,EVO 2005[],2005,Super Street Fighter II Turbo,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
5th,Nicholas Inabnit,NKI,Chun-Li,EVO 2005[],2005,Super Street Fighter II Turbo,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
7th,Peter Hinh,illshill,E. Honda,EVO 2005[],2005,Super Street Fighter II Turbo,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
7th,Jason Cole,AfroCole,Dhalsim,EVO 2005[],2005,Super Street Fighter II Turbo,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
1st,Shinya Ohnuki,Nuki,Chun-Li,EVO 2005[],2005,Street Fighter III: 3rd Strike,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
2nd,Justin Wong,JWonggg,Chun-Li,EVO 2005[],2005,Street Fighter III: 3rd Strike,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
3rd,Yoshihiko Togawa,Nitto,Yun,EVO 2005[],2005,Street Fighter III: 3rd Strike,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
4th,Tatsuya Makino,Mester,Yun,EVO 2005[],2005,Street Fighter III: 3rd Strike,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
5th,Ricky Ortiz,Hel-o Kit-e,Chun-Li/Ken,EVO 2005[],2005,Street Fighter III: 3rd Strike,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
5th,Katsuhisa Ohta,Kokujin,Dudley,EVO 2005[],2005,Street Fighter III: 3rd Strike,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
7th,Joe Egami,MOV,Chun-Li,EVO 2005[],2005,Street Fighter III: 3rd Strike,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
7th,Ryota Fukumoto,RF,Chun-Li,EVO 2005[],2005,Street Fighter III: 3rd Strike,Chun-Li,Continued dominance in 3rd Strike tournaments with her strong meta.
1st,Yoshihiko Togawa,Nitto,Yun,EVO 2006[],2006,Street Fighter III: 3rd Strike,Ryu,Maintained relevance as a classic character in various media and games.
2nd,Issei Suzuki,,Yun,EVO 2006[],2006,Street Fighter III: 3rd Strike,Ryu,Maintained relevance as a classic character in various media and games.
3rd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2006[],2006,Street Fighter III: 3rd Strike,Ryu,Maintained relevance as a classic character in various media and games.
4th,Tatsuya Makino,Mester,Yun,EVO 2006[],2006,Street Fighter III: 3rd Strike,Ryu,Maintained relevance as a classic character in various media and games.
5th,Hajime Taniguchi,Tokido,Chun-Li/Urien,EVO 2006[],2006,Street Fighter III: 3rd Strike,Ryu,Maintained relevance as a classic character in various media and games.
5th,Michael Fauson,Pyrolee,Yun,EVO 2006[],2006,Street Fighter III: 3rd Strike,Ryu,Maintained relevance as a classic character in various media and games.
7th,Alex Valle,CaliPower,Ken,EVO 2006[],2006,Street Fighter III: 3rd Strike,Ryu,Maintained relevance as a classic character in various media and games.
7th,Amir Amirsaleh,,Chun-Li,EVO 2006[],2006,Street Fighter III: 3rd Strike,Ryu,Maintained relevance as a classic character in various media and games.
1st,Hajime Taniguchi,Tokido,Vega,EVO 2007[],2007,Super Street Fighter II Turbo,Yun,Still dominant in competitive 3rd Strike play.
2nd,John Choi,ChoiBoy,Ryu/O. Sagat,EVO 2007[],2007,Super Street Fighter II Turbo,Yun,Still dominant in competitive 3rd Strike play.
3rd,Graham Wolfe,,Balrog/Vega,EVO 2007[],2007,Super Street Fighter II Turbo,Yun,Still dominant in competitive 3rd Strike play.
4th,Jason Nguyen,AfroLegends,Dee Jay/Balrog,EVO 2007[],2007,Super Street Fighter II Turbo,Yun,Still dominant in competitive 3rd Strike play.
5th,David Sirlin,Sirlin,M. Bison/Vega/E. Honda,EVO 2007[],2007,Super Street Fighter II Turbo,Yun,Still dominant in competitive 3rd Strike play.
5th,Nicholas Inabnit,NKI,Chun-Li,EVO 2007[],2007,Super Street Fighter II Turbo,Yun,Still dominant in competitive 3rd Strike play.
7th,Alex Valle,CaliPower,Ryu,EVO 2007[],2007,Super Street Fighter II Turbo,Yun,Still dominant in competitive 3rd Strike play.
7th,Shinya Ohnuki,Nuki,Chun-Li,EVO 2007[],2007,Super Street Fighter II Turbo,Yun,Still dominant in competitive 3rd Strike play.
1st,Shinya Ohnuki,Nuki,Chun-Li,EVO 2007[],2007,Street Fighter III: 3rd Strike,Yun,Still dominant in competitive 3rd Strike play.
2nd,Hajime Tanaguchi,Tokido,Chun-Li,EVO 2007[],2007,Street Fighter III: 3rd Strike,Yun,Still dominant in competitive 3rd Strike play.
3rd,Alex Valle,CaliPower,Ken/Ryu,EVO 2007[],2007,Street Fighter III: 3rd Strike,Yun,Still dominant in competitive 3rd Strike play.
4th,Mike Wakefield,,Makoto,EVO 2007[],2007,Street Fighter III: 3rd Strike,Yun,Still dominant in competitive 3rd Strike play.
5th,David Hem,asianhitler,Necro,EVO 2007[],2007,Street Fighter III: 3rd Strike,Yun,Still dominant in competitive 3rd Strike play.
5th,Ryan Harvey,Fubarduck,Chun-Li,EVO 2007[],2007,Street Fighter III: 3rd Strike,Yun,Still dominant in competitive 3rd Strike play.
7th,Ed Ma,,Ken,EVO 2007[],2007,Street Fighter III: 3rd Strike,Yun,Still dominant in competitive 3rd Strike play.
7th,Ricky Ortiz,Hel-o Kit-e,Chun-Li,EVO 2007[],2007,Street Fighter III: 3rd Strike,Yun,Still dominant in competitive 3rd Strike play.
1st,John Choi,ChoiBoy,Ryu,EVO 2008[],2008,Super Street Fighter II Turbo,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
2nd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2008[],2008,Super Street Fighter II Turbo,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
3rd,Alex Valle,CaliPower,Ryu,EVO 2008[],2008,Super Street Fighter II Turbo,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
4th,Hajime Tanaguchi,Tokido,Vega,EVO 2008[],2008,Super Street Fighter II Turbo,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
5th,Unknown,Kusumondo,E. Honda,EVO 2008[],2008,Super Street Fighter II Turbo,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
5th,David Sirlin,Sirlin,M. Bison,EVO 2008[],2008,Super Street Fighter II Turbo,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
7th,Justin Wong,JWonggg,O. Sagat,EVO 2008[],2008,Super Street Fighter II Turbo,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
7th,Jason de Heras,Shirts,Dhalsim,EVO 2008[],2008,Super Street Fighter II Turbo,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
1st,Shinya Ohnuki,Nuki,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
2nd,Justin Wong,JWongg,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
3rd,Amir Amirsaleh,,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
4th,Hajime Tanguchi,Tokido,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
5th,Ryan Harvey,Fubarduck,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
5th,J.R. Rodriguez,,Akuma,EVO 2008[],2008,Street Fighter III: 3rd Strike,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
7th,Mike Watson,Watts,Ken,EVO 2008[],2008,Street Fighter III: 3rd Strike,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
7th,Ryan Hart,Prodigal Son,Yun/Ken,EVO 2008[],2008,Street Fighter III: 3rd Strike,Akuma,Gained popularity for his mystique and high skill ceiling in competitive scenes.
1st,Daigo Umehara,The Beast,Ryu,EVO 2009[],2009,Street Fighter IV,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
2nd,Justin Wong,JWonggg,Rufus/Balrog/Abel,EVO 2009[],2009,Street Fighter IV,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
3rd,Ed Ma,,Akuma,EVO 2009[],2009,Street Fighter IV,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
4th,Sanford Kelly,Santhrax,Akuma/Cammy,EVO 2009[],nan,Street Fighter IV2009,,
5th,Long Tran,ShadyK,Akuma,EVO 2009[],2009,Street Fighter IV,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
5th,Eduardo Perez,PR Balrog,Balrog/E. Honda,EVO 2009[],2009,Street Fighter IV,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
7th,Takashi Hakushi,Dan,Ryu,EVO 2009[],2009,Street Fighter IV,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
7th,Ricky Ortiz,Hel-o Kit-e,Rufus,EVO 2009[],2009,Street Fighter IV,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
1st,Jason Nguyen,AfroLegends,Balrog/Dee Jay,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
2nd,John Choi,ChoiBoy,Ryu,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
3rd,Damien Dailidenas,Damdai,Ken/Zangief,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
4th,Graham Wolfe,,Balrog,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
5th,David Sirlin,Sirlin,Fei Long/Cammy/M. Bison,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
5th,Louis Paquin,Thelo,E. Honda,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
7th,Alex Valle,CaliPower,Ryu,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
7th,Alex Saguero,SIN,Guile,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix,Ryu,Led the resurgence of the franchise with the release of Street Fighter IV.
1st,Daigo Umehara,The Beast,Ryu,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
2nd,Ricky Ortiz,Hel-o Kit-e,Rufus/Chun-Li,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
3rd,Seon-woo Lee,Infiltration,Akuma,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
4th,Mike Ross,Mike Ross,E. Honda,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
5th,Bruce Hsiang,GamerBee,Adon,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
5th,vance Wu,Vangief,Zangief,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
7th,Henry Cen,,E. Honda/Dhalsim,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
7th,Shane Cummings,Shizza,Chun-Li,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
1st,Darryl Lewis,Snake Eyez,Zangief,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
2nd,Unknown,DGV,Ryu,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
3rd,Jason Nguyen,AfroLegends,Balrog/Ryu,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
4th,Daigo Umehara,The Beast,Balrog/Dee Jay,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
5th,Hajime Taniguchi,Tokido,Vega/E. Honda,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
5th,Jason Cole,AfroCole,Dhalsim,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
7th,Alex Valle,CaliPower,Ryu/Sagat,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
7th,Unknown,RyRy,Ryu,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
1st,Marie-Laure Norindr,Kayane,Chun-Li,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
2nd,Unknown,BurnYourBra,Ken/Gouken/Rose,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
3rd,Phuong Le,YellowGal,Chun-Li,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
4th,Lina Yu,,Blanka,EVO 2010[],2010,Super Street Fighter IV,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
1st,Damien Dailidenas,Damdai,O. Ken,EVO 2010[],2010,Super Street Fighter II Turbo ,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
2nd,Biran Su,Ganelon,Vega,EVO 2010[],2010,Super Street Fighter II Turbo ,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
3rd,Julien Beasley,Zass,M. Bison,EVO 2010[],2010,Super Street Fighter II Turbo ,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
4th,Alex,GamerTron,Balrog,EVO 2010[],2010,Super Street Fighter II Turbo ,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
5th,Louis Paquin,Thelo,E. Honda,EVO 2010[],2010,Super Street Fighter II Turbo ,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
5th,Unknown,krost,O. Ken,EVO 2010[],2010,Super Street Fighter II Turbo ,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
7th,Nicholas Inabnit,NKI,Chun-Li,EVO 2010[],2010,Super Street Fighter II Turbo ,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
7th,Unknown,Marsgatti,Guile,EVO 2010[],2010,Super Street Fighter II Turbo ,Sagat,Dominated early Street Fighter IV tournaments due to his tier placement.
1st,Keita Ai,Fuudo,Fei Long,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
2nd,Abdullatif Alhmili,Latif,C. Viper,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
3rd,Chung-gon Lee,POONGKO,Seth,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
4th,Daigo Umehara,The Beast,Yun,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
5th,Yosuke Ito,Kindevu,Yun,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
5th,Hajime Taniguchi,Tokido,Akuma,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
7th,Joshua Philpot,Wolfkrone,C. Viper,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
7th,Peter Susini,FlashMetroid,Zangief/C. Viper,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
1st,Daigo Umehara,The Beast,Balrog,EVO 2011[],2011,Super Street Fighter II Turbo,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
2nd,Damien Dailidenas,Damdai,O. Hawk/O. Ken,EVO 2011[],2011,Super Street Fighter II Turbo,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
3rd,Hajime Taniguchi,Tokido,Vega,EVO 2011[],2011,Super Street Fighter II Turbo,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
4th,Alex Valle,CaliPower,Ryu,EVO 2011[],2011,Super Street Fighter II Turbo,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
5th,Bob Painter,kuroppi,E. Honda/Zangief,EVO 2011[],2011,Super Street Fighter II Turbo,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
5th,Unknown,DGV,Ryu,EVO 2011[],2011,Super Street Fighter II Turbo,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
7th,Jason Cole,AfroCole,Dhalsim,EVO 2011[],2011,Super Street Fighter II Turbo,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
7th,Arturo Sanchez,Sabin,Dhalsim,EVO 2011[],2011,Super Street Fighter II Turbo,Yun,Rose to prominence again with his strength in Super Street Fighter IV: Arcade Edition.
1st,Seon-woo Lee,Infiltration,Akuma,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
2nd,Bruce Hsiang,Gamerbee,Adon,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
3rd,Eduardo Perez,PR Balrog,Balrog,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
4th,Zhuojun Zeng,XiaoHai,Cammy,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
5th,Daigo Umehara,Daigo Umehara,Ryu,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
5th,Jonny Cheng,Human Bomb,Sakura,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
7th,Chung-gon Lee,Poongko,Seth,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
1st,Unknown,MAO,Vega,EVO 2012[],2012,Super Street Fighter II Turbo,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
2nd,Unknown,Kusumondo,E. Honda,EVO 2012[],2012,Super Street Fighter II Turbo,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
3rd,Jason Nguyen,AfroLegends,Dee Jay/Balrog,EVO 2012[],2012,Super Street Fighter II Turbo,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
4th,Daigo Umehara,Daigo Umehara,Balrog,EVO 2012[],2012,Super Street Fighter II Turbo,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
5th,Hajime Taniguchi,Tokido,Vega,EVO 2012[],2012,Super Street Fighter II Turbo,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
5th,Damien Dailidenas,Damdai,O. Ryu/O. T. Hawk/O. Ken,EVO 2012[],2012,Super Street Fighter II Turbo,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
7th,Unknown,marsgatti,Guile,EVO 2012[],2012,Super Street Fighter II Turbo,Akuma,Versatility and strength in Street Fighter IV: Arcade Edition tournaments.
